"id"	"location.id"	"x"	"y"	"period"	"col.date"	"date"	"col.time"	"time"	"depth.cat"	"depth"	"swp"	"swc"
804	180	281.5	408	"mar.2016"	42443	"3/14/2016"	0.444444444	"10:40"	"shallow"	16	-0.54	33.09405679
805	181	265	401.5	"feb.2015"	42062	"2/27/2015"	0.497222	"11:56"	"shallow"	18	-0.05	40.26678725
806	181	265	401.5	"mar.2015"	42087	"3/24/2015"	0.53125	"12:45"	"shallow"	18	-0.45	36.80988817
807	181	265	401.5	"apr.2015"	42101	"4/7/2015"	0.526389	"12:38"	"shallow"	16	-0.21	38.24411135
808	181	265	401.5	"mar.2016"	42443	"3/14/2016"	0.451388889	"10:50"	"shallow"	16.5	-0.33	34.01095987
809	182	257.5	422.5	"feb.2015"	42058	"2/23/2015"	0.534722	"12:50"	"shallow"	16	-0.16	40.81592237
810	182	257.5	422.5	"mar.2015"	42086	"3/23/2015"	0.507639	"12:11"	"shallow"	16	-0.19	33.9269103
811	182	257.5	422.5	"apr.2015"	42101	"4/7/2015"	0.551389	"13:14"	"shallow"	19	-0.57	32.14422219
812	182	257.5	422.5	"apr.2015"	42101	"4/7/2015"	0.553472	"13:17"	"middle"	43	-0.23	35.50495942
813	182	257.5	422.5	"apr.2015"	42101	"4/7/2015"	0.556944	"13:22"	"middle"	68	-0.27	36.15925862
814	182	257.5	422.5	"apr.2015"	42101	"4/7/2015"	0.559722	"13:26"	"deep"	80	-0.31	36.5065828
815	182	257.5	422.5	"apr.2015"	42101	"4/7/2015"	0.563194	"13:31"	"deep"	99	-0.49	34.23558897
816	182	257.5	422.5	"mar.2016"	42444	"3/15/2016"	0.527777778	"12:40"	"shallow"	15	-0.49	36.06859672
817	182	257.5	422.5	"mar.2016"	42444	"3/15/2016"	0.530555556	"12:44"	"middle"	40.5	-0.23	34.49262602
818	183	240	409	"feb.2015"	42059	"2/24/2015"	0.518056	"12:26"	"shallow"	16	-0.01	45.88657252
819	183	240	409	"mar.2015"	42087	"3/24/2015"	0.556944	"13:22"	"shallow"	16	-0.25	38.45149254
820	183	240	409	"apr.2015"	42100	"4/6/2015"	0.511806	"12:17"	"shallow"	16	-0.18	37.10376477
